"Date Printed: Tuesday, August 20, 2024 8:01:25 AM",,,,,,,,,,,,,,,
"Title: ""Estimated HIV incidence | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""""",,,,,,,,,,,,,,,
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,,,,,,,,
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.,,,,,,,,,,,,,,,
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.,,,,,,,,,,,,,,,
   The 'Sex' column is used for either sex assigned at birth or gender identity.,,,,,,,,,,,,,,,
   NA - Not applicable.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Cases LCI,Cases UCI,RSE,Rate per 100000,Rate LCI,Rate UCI,Population
Estimated HIV incidence,2010,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2010,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2010,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,720,590,850,9.1,23.1,19,27.2,"3,102,897"
Estimated HIV incidence,2010,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2010,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2010,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2010,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,30,49.0*,3.3,0.1,6.4,"465,161"
Estimated HIV incidence,2010,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,170,290,12.6,4.8,3.6,6,"4,739,124"
Estimated HIV incidence,2010,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,60,30,90,23.9,3.9,2.1,5.8,"1,578,872"
Estimated HIV incidence,2010,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,490,410,570,8.6,8.8,7.3,10.2,"5,607,984"
Estimated HIV incidence,2010,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,930,810,"1,100",6.7,14,12.1,15.8,"6,692,749"
Estimated HIV incidence,2010,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,0,30,43.2*,3.2,0.5,5.9,"537,113"
Estimated HIV incidence,2010,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,60,130,19.2,4.3,2.7,6,"2,119,623"
