"GEOID","state","13-24","13-17","18-24","25-34","35-44","45-54","55+","FIPS"
"01","Alabama",392658.8,161703.8,230955,314831,288649,306371,659091,1
"02","Alaska",66759.4,25568.4,41191,63163,48455,47395,89752,2
"04","Arizona",592765.8,239070.8,353695,499809,437980,419914,958930,4
"05","Arkansas",247597.8,101997.8,145600,195564,182766,183158,404553,5
"06","California",3257419,1307302,1950117,3076206,2622477,2540990,4725612,6
"08","Colorado",456793.4,183037.4,273756,454835,392704,360078,696798,8
"09","Connecticut",296145.8,117278.8,178867,224242,208020,246401,506301,9
"10","Delaware",72476.8,29973.8,42503,63937,53862,59649,139863,10
"11","District of Columbia",47350.8,13503.8,33847,75915,50492,38245,67523,11
"12","Florida",1514104.8,614837.8,899267,1376984,1252894,1346077,3208967,12
"13","Georgia",883102,367438,515664,712021,665049,683212,1209484,13
"15","Hawaii",109441.4,41421.4,68020,106549,90868,87071,204187,15
"16","Idaho",148676,64764,83912,113973,108470,100441,228537,16
"17","Illinois",1034270,427115,607155,893745,821164,825998,1648224,17
"18","Indiana",571797.4,231514.4,340283,435182,408746,423813,872574,18
"19","Iowa",268433,104770,163663,201508,190678,190845,439646,19
"20","Kansas",258658,102462,156196,196606,178961,172519,382478,20
"21","Kentucky",364782.8,147432.8,217350,291580,276282,288638,598896,21
"22","Louisiana",379194.2,156794.2,222400,334148,287365,278887,593775,22
"23","Maine",94755.4,38612.4,56143,78905,74923,91033,223110,23
"24","Maryland",467769.6,193595.6,274174,411535,374532,401330,771232,24
"25","Massachusetts",556029.4,209055.4,346974,487411,410248,455422,923785,25
"26","Michigan",825916.2,328272.2,497644,642503,578683,650249,1421571,26
"27","Minnesota",439126,185091,254035,386128,353452,356261,757845,27
"28","Mississippi",255133,104771,150362,190670,180472,179988,381882,28
"29","Missouri",495685.8,202113.8,293572,408104,367217,379073,840416,29
"30","Montana",85583.6,33139.6,52444,68088,63583,61761,165177,30
"31","Nebraska",163924.2,67060.2,96864,130819,120204,112932,250793,31
"32","Nevada",224428,97786,126642,221191,199971,198549,397097,32
"33","New Hampshire",106313.4,40991.4,65322,85295,76867,96846,210347,33
"34","New Jersey",685620.6,291231.6,394389,577791,563543,613762,1184383,34
"35","New Mexico",176866.2,72422.2,104444,144837,125530,120611,291239,35
"36","New York",1514154.4,593805.4,920349,1432624,1196866,1269799,2580453,36
"37","North Carolina",847019,338498,508521,674892,633075,671081,1336210,37
"38","North Dakota",68408.2,22812.2,45596,62658,46621,42922,99626,38
"39","Ohio",934000.4,387078.4,546922,765892,691887,746965,1627412,39
"40","Oklahoma",336124,136610,199514,275919,244607,233945,505756,40
"41","Oregon",312249.2,126838.2,185411,296638,276637,257387,586239,41
"42","Pennsylvania",994851.6,398460.6,596391,854178,745466,835267,1871158,42
"44","Rhode Island",87625,31470,56155,73769,61302,69309,147147,44
"45","South Carolina",403630,160285,243345,324747,297106,311976,696549,45
"46","South Dakota",73019.4,29589.4,43430,59777,52647,50464,122907,46
"47","Tennessee",532873.6,219586.6,313287,451746,413823,434056,891160,47
"48","Texas",2490822.8,1050324.8,1440498,2111250,1914495,1747721,3078150,48
"49","Utah",309386.2,131339.2,178047,232472,214681,159763,299369,49
"50","Vermont",52806,18047,34759,36937,34665,41156,100481,50
"51","Virginia",688548,269191,419357,592782,547895,558345,1087596,51
"53","Washington",574368.8,230919.8,343449,577157,496154,471528,973989,53
"54","West Virginia",138268.2,55140.2,83128,108772,111057,119265,287420,54
"55","Wisconsin",472549.4,190638.4,281911,373457,354504,379088,835383,55
"56","Wyoming",48349,19515,28834,41706,37054,34546,83759,56
"72","Puerto Rico",271838.2,107261.2,164577,201815,195492,204251,481306,72
