Transmission Risk,Race/Ethnicity,100% of HIV infections,90% of HIV infections,"100% to top 90%, 5% to bottom 10%",75% of HIV infections,"100% to top 75%, 5% to bottom 25%"
msm,AIAN,57 (56-59),43 (35-49),44 (36-50),23 (12-30),24 (15-31)
msm,Asian,58 (57-60),43 (35-53),44 (36-53),24 (17-31),25 (19-33)
msm,Black,57 (56-59),57 (56-59),57 (56-59),54 (51-57),55 (51-57)
msm,Hispanic,57 (55-58),56 (55-58),56 (55-58),48 (39-55),49 (40-55)
msm,Multiracial,55 (54-57),47 (42-52),47 (43-52),31 (22-37),32 (24-38)
msm,NHOPI,57 (56-59),51 (45-56),51 (46-56),33 (23-43),34 (25-43)
msm,White,58 (56-59),42 (35-50),43 (36-50),22 (19-28),24 (21-29)
msw,AIAN,11 (9-13),0 (0-0),1 (0-1),0 (0-0),1 (0-1)
msw,Asian,11 (9-13),0 (0-0),1 (0-1),0 (0-0),1 (0-1)
msw,Black,11 (10-13),2 (0-6),3 (1-6),0 (0-0),1 (0-1)
msw,Hispanic,12 (10-14),0 (0-0),1 (1-1),0 (0-0),1 (1-1)
msw,Multiracial,13 (11-15),0 (0-0),1 (1-1),0 (0-0),1 (1-1)
msw,NHOPI,12 (10-13),0 (0-0),1 (0-1),0 (0-0),1 (0-1)
msw,White,10 (8-11),0 (0-0),0 (0-1),0 (0-0),0 (0-1)
wsm,AIAN,9 (9-10),0 (0-0),0 (0-1),0 (0-0),0 (0-1)
wsm,Asian,9 (9-10),0 (0-0),0 (0-1),0 (0-0),0 (0-1)
wsm,Black,9 (9-10),4 (1-7),4 (1-7),1 (0-3),1 (1-3)
wsm,Hispanic,10 (9-12),0 (0-0),1 (0-1),0 (0-0),1 (0-1)
wsm,Multiracial,11 (10-13),0 (0-0),1 (1-1),0 (0-0),1 (1-1)
wsm,NHOPI,10 (9-11),0 (0-0),0 (0-1),0 (0-0),0 (0-1)
wsm,White,8 (8-9),0 (0-0),0 (0-0),0 (0-0),0 (0-0)
