State,Former CDC estimate,Cost-effectiveness threshold approach,100% of HIV infections,90% of HIV infections,"100% to top 90%, 5% to bottom 10%",75% of HIV infections,"100% to top 75%, 5% to bottom 25%"
Alabama,"14,619 (NA-NA)","43,085 (NA-NA)","430,141 (389,631-488,167)","64,167 (31,518-133,622)","82,466 (52,042-149,839)","27,830 (15,781-46,135)","47,946 (36,596-65,805)"
Alaska,"1,633 (NA-NA)","2,312 (NA-NA)","67,424 (60,712-75,854)","3,136 (1,820-7,133)","6,350 (4,910-10,230)","759 (190-1,832)","4,092 (3,429-5,311)"
Arizona,"37,761 (NA-NA)","52,377 (NA-NA)","661,825 (602,805-743,884)","99,962 (78,061-116,952)","128,055 (106,216-143,567)","69,492 (40,103-87,599)","99,109 (71,887-116,313)"
Arkansas,"7,121 (NA-NA)","18,625 (NA-NA)","261,331 (236,181-296,466)","23,936 (13,915-31,172)","35,806 (25,140-43,004)","9,430 (7,077-12,867)","22,025 (19,712-25,582)"
California,"260,255 (NA-NA)","295,857 (NA-NA)","3,872,453 (3,536,377-4,341,919)","647,638 (540,366-770,013)","808,878 (690,532-928,901)","443,317 (248,411-592,981)","614,773 (433,630-768,285)"
Colorado,"24,866 (NA-NA)","26,246 (NA-NA)","536,031 (486,734-602,835)","69,901 (45,125-83,922)","93,207 (72,288-107,302)","31,528 (16,404-50,076)","56,753 (43,000-74,464)"
Connecticut,"17,517 (NA-NA)","13,558 (NA-NA)","323,002 (293,229-365,034)","42,963 (29,110-64,785)","56,965 (42,316-78,713)","16,310 (10,030-22,216)","31,644 (24,190-37,267)"
Delaware,"6,338 (NA-NA)","7,861 (NA-NA)","86,445 (78,717-97,695)","14,646 (7,925-19,663)","18,236 (11,746-22,772)","4,201 (1,775-8,078)","8,313 (6,048-12,258)"
District of Columbia,"14,629 (NA-NA)","12,936 (NA-NA)","87,333 (81,458-96,289)","55,204 (48,270-60,786)","56,811 (49,930-62,541)","44,392 (33,764-54,415)","46,539 (36,561-56,241)"
Florida,"150,883 (NA-NA)","261,065 (NA-NA)","1,912,056 (1,745,260-2,153,866)","504,991 (350,486-626,026)","575,344 (433,491-692,309)","224,752 (132,851-360,662)","309,117 (224,753-443,850)"
Georgia,"50,329 (NA-NA)","152,923 (NA-NA)","967,475 (879,215-1,092,776)","273,514 (143,309-428,933)","308,212 (185,473-458,859)","92,390 (60,374-169,469)","136,144 (106,716-209,519)"
Hawaii,"5,431 (NA-NA)","4,861 (NA-NA)","127,558 (115,600-143,850)","11,515 (5,390-15,996)","17,317 (11,625-21,991)","3,740 (1,003-6,039)","9,931 (7,623-12,119)"
