"trnsm","age","q50_inc","q_range_inc"
"msm","13-24","0.675000","1.10e-01 -  4.7000"
"msm","25-34","1.730000","2.90e-01 - 11.4000"
"msm","35-44","0.895000","1.52e-01 -  6.0000"
"msm","45-54","1.260000","2.43e-01 -  8.1800"
"msm","55+","0.730000","1.40e-01 -  4.7700"
"msw","13-24","0.000956","3.56e-05 -  0.0487"
"msw","25-34","0.000680","3.39e-05 -  0.0310"
"msw","35-44","0.000761","3.58e-05 -  0.0366"
"msw","45-54","0.000640","3.07e-05 -  0.0322"
"msw","55+","0.000895","4.37e-05 -  0.0413"
"wsm","13-24","0.001770","1.12e-04 -  0.0572"
"wsm","25-34","0.001650","1.04e-04 -  0.0547"
"wsm","35-44","0.001500","9.11e-05 -  0.0496"
"wsm","45-54","0.001960","1.26e-04 -  0.0672"
"wsm","55+","0.002600","1.69e-04 -  0.0853"
